 ID, FPL Name, Player ID, Full Name, Team, Availability, Position, Current Price, Value Season, Cost Change from Start, Percentage Selected By, Transfers In, Transfers Out, Total Points,  Points Per Game, Minutes, Goals Scored, Assists, Clean Sheets, Goals Conceded, Own Goals, Penalties Saved, Penalties Missed, Yellow Cards, Red Cards, Saves, Bonus Points, Bonus Point System Score, Influence, Creativity, Threat,  ICT Index,
        1,        Mustafi,        69140,        Shkodran Mustafi,Arsenal,Available,        2,        52,        0.0,        -3,        0.3,        6946,        29859,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            2,        Bellerín,        98745,        Héctor Bellerín,Arsenal,Available,        2,        54,        0.0,        -1,        0.4,        28413,        19230,        0,        0.0,        90,        0,        0,        0,        2,        0,        0,        0,        1,        0,        0,        0,        7,        8.6,        14.9,        5.0,        2.9,    
            3,        Kolasinac,        111457,        Sead Kolasinac,Arsenal,Available,        2,        53,        3.5,        -2,        0.8,        43146,        94878,        19,        1.9,        667,        0,        1,        1,        10,        0,        0,        0,        2,        0,        0,        1,        133,        122.8,        111.5,        45.0,        27.8,    
            4,        Maitland-Niles,        154043,        Ainsley Maitland-Niles,Arsenal,Available,        2,        47,        3.6,        -3,        3.2,        543434,        518357,        17,        2.8,        490,        0,        2,        1,        10,        0,        0,        0,        0,        1,        0,        3,        92,        136.4,        108.2,        31.0,        27.1,    
            5,        Sokratis,        39476,        Sokratis Papastathopoulos,Arsenal,Available,        2,        50,        6.2,        0,        1.9,        100617,        106040,        31,        2.8,        990,        1,        0,        2,        15,        0,        0,        0,        2,        0,        0,        2,        177,        259.6,        25.5,        35.0,        32.0,    
            6,        Monreal,        38411,        Nacho Monreal,Arsenal,Joined Real Sociedad on a permanent deal on 31/8,        2,        50,        2.0,        0,        0.3,        27982,        86607,        10,        3.3,        270,        0,        0,        1,        4,        0,        0,        0,        0,        0,        0,        1,        54,        47.2,        40.8,        12.0,        10.0,    
            7,        Koscielny,        51507,        Laurent Koscielny,Arsenal,Joined Bordeaux on a permanent deal on 6/8.,        2,        50,        0.0,        0,        0.1,        414,        12222,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            8,        Mavropanos,        233963,        Konstantinos Mavropanos,Arsenal,Available,        2,        44,        0.0,        -1,        0.0,        558,        3791,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            9,        Jenkinson,        80254,        Carl Jenkinson,Arsenal,Joined Nottingham Forest on a permanent deal on 7/8.,        2,        45,        0.0,        0,        0.0,        256,        2338,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            10,        Holding,        156074,        Rob Holding,Arsenal,Available,        2,        45,        0.2,        0,        0.1,        9501,        8725,        1,        1.0,        76,        0,        0,        0,        2,        0,        0,        0,        0,        0,        0,        0,        9,        8.4,        0.4,        2.0,        1.1,    
            11,        Aubameyang,        54694,        Pierre-Emerick Aubameyang,Arsenal,Available,        4,        110,        6.3,        0,        24.8,        1212060,        1330347,        69,        5.8,        1080,        8,        1,        2,        17,        0,        0,        0,        2,        0,        0,        12,        264,        337.0,        177.6,        464.0,        97.7,    
            12,        Lacazette,        59966,        Alexandre Lacazette,Arsenal,Available,        4,        93,        2.8,        -2,        1.7,        101910,        236859,        26,        3.7,        405,        2,        2,        0,        7,        0,        0,        0,        1,        0,        0,        2,        78,        116.8,        90.9,        277.0,        48.5,    
            13,        Nketiah,        205533,        Edward Nketiah,Arsenal,Joined Leeds United on loan until the end of the season on 8/8. - Expected back 01 Jul,        4,        43,        0.0,        -2,        0.7,        38629,        99208,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            14,        Leno,        80201,        Bernd Leno,Arsenal,Available,        1,        50,        7.2,        0,        5.9,        309639,        306404,        36,        3.0,        1080,        0,        0,        2,        17,        0,        0,        0,        2,        0,        49,        1,        226,        330.6,        0.0,        0.0,        32.9,    
            15,        Özil,        37605,        Mesut Özil,Arsenal,Available,        3,        72,        0.8,        -3,        0.7,        25227,        92752,        6,        2.0,        250,        0,        0,        0,        4,        0,        0,        0,        0,        0,        0,        0,        41,        28.4,        92.3,        12.0,        13.2,    
            16,        Mkhitaryan,        57249,        Henrikh Mkhitaryan,Arsenal,Joined Roma on loan until the end of the season on 2/9. - Expected back 01 Jul,        3,        68,        0.6,        -2,        0.8,        22630,        112695,        4,        1.3,        110,        0,        0,        1,        0,        0,        0,        0,        1,        0,        0,        0,        3,        5.4,        33.9,        46.0,        8.6,    
            18,        Xhaka,        84450,        Granit Xhaka,Arsenal,Available,        3,        52,        3.7,        -3,        0.7,        30153,        90685,        19,        2.1,        739,        0,        1,        2,        13,        0,        0,        0,        4,        0,        0,        0,        102,        141.2,        104.1,        46.0,        29.2,    
            19,        Torreira,        198849,        Lucas Torreira,Arsenal,Available,        3,        48,        3.8,        -2,        1.3,        54493,        118266,        18,        2.0,        351,        1,        0,        1,        6,        0,        0,        0,        0,        0,        0,        0,        64,        84.4,        71.3,        120.0,        27.6,    
            20,        Elneny,        153256,        Mohamed Elneny,Arsenal,Joined Besiktas on loan until the end of the season on 31/8. - Expected back 01 Jul,        3,        43,        0.0,        -2,        0.9,        100098,        70864,        0,        0.0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0.0,        0.0,        0.0,        0.0,    
            21,        Guendouzi,        242166,        Matteo Guendouzi,Arsenal,Available,        3,        47,        6.6,        2,        9.9,        767311,        495230,        31,        2.6,        1051,        0,        2,        2,        16,        0,        0,        0,        3,        0,        0,        2,        178,        227.0,        178.4,        103.0,        50.9,    
